latitude	longitude
52.24	4.45
49.42	16.36
49.42	16.36
49.42	16.36
46	3.3
48.5	-1.41
48.5	-1.41
38.3333	-3.53333
38.35	68.48
51.4083	-0.6383
51.4083	-0.6383
60	23.5
60	23.5
41.7194	2.93056
41.7194	2.93056
56.0648	13.9707
56.0648	13.9707
48.3	14.45
48.3	14.45
47.25	8.26
52.3	30
52.3	9.3
49.3853	16.2544
57.1539	-2.2207
48.0683	7.62551
54.8	-2.4333
53.448	5.73
50.3	5.3
51.8333	5.5833
50.9167	9.57073
51.3333	6.1
47.5	7.5
52	5.675
52.4584	13.287
56.5459	-4.79821
44.5041	11.3396
54.4	-3.2667
49.5166	9.3166
50.0167	8.6667
41.3599	-122.755
50.5	9.5
54.1	-6.2
53.2699	-1.64293
50.2981	8.26607
29.2144	-13.4811
51.3	1.1
37.3	15
42	12.1
48.0717	1.33867
53.7502	34.7361
40.12	-8.25
40.2077	-8.42639
49.416	2.823
49.8724	8.65081
47.3239	5.04278
50.7224	8.2372
49.4167	16.2667
51.051	13.7336
54.7761	-1.5733
51.3	0.5
55.9494	-3.16028
51.5105	9.68253
50	8.5
50	8.5
49.5955	11.0087
60.1997	24.5682
58.6656	24.9871
44.6447	2.56481
50.1102	8.6822
50.5	8.0167
51.0167	5.86667
50.584	8.67825
47	15.5
43.178	-85.2532
53.5	10.5
52.24	9.44
52.3721	9.73569
55.675	12.5686
51.3472	8.28844
54.4175	9.88682
